Entry,Seed_Color_Rep1_CU,Seed_Color_Rep2_CU,Seed_Color_Rep1_FL,Seed_Color_Rep2_FL,Plant_Color_Rep1_CU,Plant_Color_Rep2_CU,Plant_Color_Rep1_FL,Plant_Colo_Rep2FL,AWN_Rep1_CU,AWN_Rep2CU,AWN_Rep1FL,AWN_Rep2FL
MB0002,W,W,W,W,T,T,T,T,N,N,N,N
MB0003,W,W,W,W,2,2,2,2,N,N,N,N
MB0004,R,R,R,R,P,P,NA,P,A,A,A,A
MB0005,R,R,R,R,P,P,P,P,A,A,A,A
MB0006,NA,NA,NA,NA,T,T,P,T,N,A,A,A
MB0008,NA,NA,NA,NA,2,2,P,P,N,A,N,A
MB0009,NA,NA,NA,W,T,NA,T,P,N,NA,N,N
MB0010,W,W,W,NA,P,P,P,P,N,N,N,N
MB0011,NA,NA,NA,R,P,P,P,P,N,N,N,N
MB0012,R,R,R,NA,P,P,P,NA,N,N,N,NA
MB0013,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0014,R,NA,R,NA,NA,NA,T,NA,N,NA,N,NA
MB0015,Y,NA,Y,Y,T,NA,T,T,N,NA,N,N
MB0016,W,W,W,W,T,T,T,T,N,N,A,N
MB0017,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0018,R,R,R,R,P,P,P,P,N,N,N,N
MB0019,Y,Y,Y,Y,2,2,T,T,A,A,A,A
MB0020,Y,NA,NA,Y,P,P,P,P,N,N,N,N
MB0021,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0022,R,R,R,R,P,P,P,P,N,N,N,NA
MB0023,NA,NA,W,NA,NA,NA,P,NA,NA,NA,A,NA
MB0024,W,W,NA,Y,P,P,P,P,N,N,N,N
MB0025,Y,NA,Y,Y,P,NA,P,P,N,NA,N,N
MB0026,Y,Y,Y,Y,P,P,P,T,N,N,N,N
MB0027,R,R,R,R,P,NA,T,P,N,N,N,N
MB0028,R,R,R,Y,P,P,P,P,N,N,N,N
MB0029,Y,Y,Y,Y,P,P,T,NA,N,N,N,N
MB0030,Y,Y,Y,Y,T,T,T,P,NA,N,N,N
MB0031,Y,NA,NA,W,T,T,T,T,A,A,A,A
MB0032,W,W,W,W,P,P,P,P,A,A,A,A
MB0033,R,NA,R,R,P,NA,P,P,A,NA,A,A
MB0035,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0037,W,W,W,W,P,P,P,P,A,A,A,A
MB0038,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0040,Y,Y,Y,Y,P,P,T,P,N,A,A,N
MB0041,NA,NA,NA,NA,P,NA,P,P,N,N,N,N
MB0042,W,W,W,W,P,P,P,P,N,N,N,N
MB0043,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0044,R,R,R,R,P,P,P,P,N,N,N,N
MB0045,R,R,R,R,P,P,P,P,N,N,N,N
MB0046,R,R,R,R,P,P,P,P,N,N,N,N
MB0049,R,NA,NA,NA,P,P,P,P,N,N,N,N
MB0050,NA,NA,NA,NA,P,NA,P,NA,N,NA,N,NA
MB0051,R,R,R,R,T,T,T,T,N,N,N,N
MB0052,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0053,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0056,R,R,R,R,P,P,NA,P,N,N,N,N
MB0057,R,R,R,R,P,P,P,P,N,N,N,N
MB0060,R,R,R,R,T,T,T,T,A,A,A,A
MB0061,R,R,R,R,P,P,P,P,A,A,A,A
MB0062,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0063,W,W,W,W,P,P,P,P,A,A,A,A
MB0064,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0066,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0071,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0072,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0073,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0074,R,R,R,R,T,T,T,T,A,A,A,A
MB0075,R,R,R,R,P,P,P,P,N,N,N,N
MB0080,R,R,R,R,P,P,P,P,N,N,N,N
MB0081,Y,NA,Y,W,P,NA,NA,P,NA,NA,A,A
MB0082,NA,NA,NA,NA,P,P,P,P,N,N,N,N
MB0084,R,R,R,R,2,2,NA,P,A,A,A,A
MB0085,NA,NA,NA,NA,T,T,T,T,N,N,N,N
MB0086,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0087,R,R,R,R,T,T,T,T,N,N,N,N
MB0088,R,R,R,R,T,T,T,T,N,N,N,N
MB0089,R,R,R,R,T,T,P,T,N,N,N,N
MB0090,R,R,R,R,T,T,P,T,N,N,N,N
MB0091,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0092,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0093,Y,NA,Y,Y,T,NA,T,T,N,NA,N,N
MB0094,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0095,W,W,W,W,T,T,T,T,N,N,N,N
MB0096,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0097,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0098,R,NA,R,NA,P,NA,P,NA,A,NA,A,NA
MB0099,R,R,R,R,P,P,P,T,A,A,A,A
MB0100,R,R,R,NA,P,P,P,P,A,A,A,A
MB0101,R,R,R,R,P,P,P,P,A,A,A,A
MB0102,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0103,NA,NA,NA,NA,P,P,P,P,N,N,NA,NA
MB0104,Y,Y,Y,Y,P,P,P,T,N,N,N,N
MB0105,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0106,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0107,NA,NA,NA,NA,P,P,P,P,N,N,N,N
MB0109,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0110,R,R,R,R,P,P,P,P,A,A,A,A
MB0111,R,R,R,R,P,P,P,P,A,A,A,A
MB0113,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0118,NA,NA,NA,NA,P,P,P,P,N,N,N,N
MB0119,R,R,NA,R,P,P,NA,P,N,N,N,N
MB0120,R,NA,R,NA,2,NA,NA,NA,N,NA,N,NA
MB0121,R,R,R,R,P,P,P,P,N,N,N,N
MB0122,R,R,R,R,T,T,T,T,N,N,N,N
MB0123,NA,NA,NA,NA,T,T,T,T,N,N,N,N
MB0124,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0125,R,R,R,R,T,T,T,T,N,N,N,N
MB0126,R,R,R,R,P,P,P,P,N,NA,N,N
MB0127,R,R,R,R,P,P,P,P,A,A,A,A
MB0130,R,NA,R,R,P,NA,P,T,A,NA,A,A
MB0132,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0133,R,R,R,R,P,P,P,P,A,A,A,A
MB0134,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0135,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0140,Y,Y,Y,Y,P,P,P,P,A,A,NA,A
MB0141,W,W,W,W,P,P,P,P,A,A,A,A
MB0142,Y,NA,Y,Y,P,NA,P,P,N,NA,N,N
MB0143,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0144,Y,Y,Y,Y,T,T,T,T,NA,A,N,A
MB0146,R,R,R,NA,P,P,P,P,A,A,A,A
MB0147,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0148,Y,Y,Y,Y,P,P,P,P,NA,NA,NA,A
MB0149,NA,NA,NA,NA,P,P,P,P,N,N,N,N
MB0150,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0151,R,R,R,R,P,P,P,P,N,N,N,N
MB0152,NA,NA,W,NA,NA,NA,P,NA,NA,NA,N,NA
MB0153,R,R,R,R,P,P,P,P,N,N,N,N
MB0154,R,R,R,R,T,T,T,T,N,N,N,N
MB0155,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0156,R,R,R,R,T,T,T,T,A,A,A,NA
MB0158,R,R,R,R,P,P,P,P,N,N,N,N
MB0159,R,R,R,R,P,P,P,P,N,N,N,N
MB0160,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0161,R,R,R,NA,P,P,P,P,A,A,A,A
MB0162,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0163,R,R,R,R,P,P,P,P,N,N,N,N
MB0164,R,R,R,R,P,P,P,P,A,A,A,A
MB0165,NA,NA,NA,NA,T,T,T,T,A,A,A,A
MB0167,R,R,R,R,P,P,P,P,N,N,N,N
MB0168,R,R,R,R,P,P,P,P,N,N,N,N
MB0169,R,R,R,R,P,P,P,P,A,A,A,A
MB0170,NA,NA,NA,NA,2,P,P,P,A,A,A,A
MB0171,NA,NA,NA,NA,P,P,P,P,N,N,N,N
MB0172,NA,NA,NA,NA,T,T,P,T,N,N,N,N
MB0173,Y,Y,Y,Y,T,T,T,T,N,N,N,NA
MB0174,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0175,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0176,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0177,Y,NA,Y,Y,T,NA,T,T,N,NA,N,N
MB0178,NA,NA,NA,NA,T,T,T,T,N,N,N,N
MB0179,R,R,R,R,T,T,T,T,N,N,N,N
MB0180,R,R,R,R,T,T,T,T,A,A,A,A
MB0181,R,R,R,R,P,P,P,P,N,N,N,N
MB0182,R,R,R,R,P,P,P,P,N,N,N,N
MB0183,W,W,W,W,P,P,P,P,N,N,N,N
MB0185,R,NA,NA,NA,2,NA,P,NA,A,NA,A,A
MB0186,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0187,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0190,W,W,W,W,P,P,P,P,A,A,A,A
MB0191,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0192,NA,NA,NA,NA,P,P,P,P,N,N,N,N
MB0193,R,R,R,R,P,P,P,P,A,A,A,A
MB0194,R,R,R,R,2,2,P,P,A,NA,A,A
MB0195,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0196,R,NA,R,W,P,NA,P,P,N,NA,N,N
MB0197,NA,NA,NA,NA,T,T,P,P,A,A,A,A
MB0198,R,R,R,R,P,P,NA,P,N,N,N,N
MB0199,R,NA,R,NA,P,NA,P,NA,A,NA,A,NA
MB0201,R,R,R,R,P,P,P,P,A,A,A,A
MB0202,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0203,R,R,R,R,P,P,P,P,N,N,N,N
MB0204,R,R,R,R,P,P,P,P,N,N,N,N
MB0205,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0207,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0208,Y,Y,Y,Y,P,P,NA,P,A,A,A,A
MB0209,Y,Y,Y,Y,P,NA,P,P,A,A,A,A
MB0210,NA,NA,NA,NA,P,P,NA,P,A,A,A,A
MB0211,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0212,Y,Y,Y,Y,T,T,T,T,N,N,NA,N
MB0213,Y,Y,Y,Y,P,P,P,P,N,N,N,NA
MB0214,NA,NA,W,NA,NA,NA,P,NA,NA,NA,N,NA
MB0215,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0217,NA,NA,NA,W,P,P,P,P,A,A,A,A
MB0218,W,W,W,W,P,P,P,P,N,N,N,N
MB0219,W,W,W,W,P,P,P,P,NA,NA,A,A
MB0220,R,NA,R,R,T,NA,T,P,N,NA,N,N
MB0223,NA,NA,NA,NA,T,T,T,T,A,A,A,A
MB0224,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0225,R,R,R,R,T,T,P,T,A,A,A,A
MB0226,R,R,R,R,P,P,P,P,N,N,N,N
MB0227,R,R,R,R,P,P,P,P,N,N,N,N
MB0228,R,R,R,R,P,P,P,P,A,A,A,A
MB0229,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0230,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0231,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0232,R,R,Y,Y,P,P,P,P,A,A,A,A
MB0233,R,R,R,R,P,P,P,P,A,A,A,A
MB0234,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0235,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0236,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0237,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0238,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0239,Y,Y,Y,Y,P,T,P,P,N,N,N,N
MB0240,Y,NA,Y,NA,T,NA,T,NA,N,NA,N,NA
MB0241,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0242,R,R,R,R,T,T,T,T,N,N,N,N
MB0243,R,R,R,R,2,2,P,P,N,N,N,N
MB0244,R,R,R,R,T,T,T,T,N,N,N,N
MB0246,R,R,R,R,T,T,T,T,N,N,N,N
MB0247,R,R,R,R,T,T,T,T,A,A,A,A
MB0248,R,R,R,R,T,T,T,T,A,A,A,A
MB0249,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0250,R,R,R,R,P,P,P,P,A,A,A,A
MB0251,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0252,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0253,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0254,W,W,W,W,P,P,P,P,N,N,N,N
MB0255,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0256,R,R,R,R,T,T,P,T,A,A,A,A
MB0257,R,R,R,R,T,T,P,T,NA,A,A,NA
MB0258,R,R,R,R,T,T,T,T,N,N,N,N
MB0259,W,W,W,W,P,P,P,P,A,A,A,A
MB0260,W,W,W,W,P,P,P,P,A,A,A,A
MB0261,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0262,W,W,W,W,P,P,P,P,A,A,A,A
MB0263,R,R,NA,R,T,T,T,T,N,N,NA,N
MB0265,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0266,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0267,W,NA,W,NA,P,NA,P,NA,NA,NA,A,NA
MB0269,R,R,R,R,P,2,NA,P,N,N,N,N
MB0270,R,R,R,R,P,P,P,P,A,A,A,A
MB0273,W,W,NA,W,P,P,NA,P,A,A,A,NA
MB0274,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0275,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0276,R,R,R,R,P,T,P,P,N,N,N,N
MB0277,R,R,R,R,P,P,P,P,N,N,N,N
MB0278,R,R,R,R,P,P,P,P,N,N,N,N
MB0279,W,NA,W,W,P,T,T,T,N,NA,N,N
MB0281,Y,NA,Y,NA,T,NA,T,NA,A,NA,A,NA
MB0282,W,W,W,W,P,P,P,P,A,A,A,A
MB0283,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0284,Y,NA,Y,NA,P,NA,P,NA,A,NA,A,NA
MB0285,W,W,W,W,P,NA,P,P,NA,N,N,NA
MB0288,NA,NA,NA,NA,P,P,P,P,NA,A,A,A
MB0289,R,R,NA,R,P,P,P,P,A,A,A,A
MB0290,R,R,NA,R,P,P,P,P,A,A,A,A
MB0291,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0293,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0294,NA,NA,NA,NA,P,P,P,P,NA,N,N,N
MB0295,R,R,R,R,T,T,T,T,A,A,A,A
MB0296,R,NA,R,NA,T,NA,T,NA,N,NA,N,NA
MB0299,R,R,R,R,P,T,T,T,N,NA,NA,N
MB0300,R,R,R,R,P,P,P,P,N,N,N,N
MB0301,NA,NA,NA,NA,P,P,NA,P,N,N,N,N
MB0302,NA,NA,NA,NA,P,P,NA,P,N,N,N,N
MB0303,R,R,R,R,P,P,P,P,A,A,A,A
MB0304,R,R,R,R,P,P,P,P,A,A,A,A
MB0305,R,R,R,R,P,P,P,P,A,A,A,A
MB0306,R,R,R,R,P,P,P,P,A,A,A,A
MB0307,R,R,R,R,P,P,P,P,A,A,A,A
MB0310,R,R,R,R,P,P,P,P,A,A,A,A
MB0311,Y,Y,Y,Y,P,P,P,P,NA,N,N,NA
MB0312,NA,NA,NA,NA,T,T,P,T,N,N,N,N
MB0313,R,R,R,R,T,T,NA,T,A,A,A,A
MB0314,R,R,R,R,T,T,T,T,N,NA,A,A
MB0317,R,R,R,R,P,P,P,P,N,N,N,N
MB0318,R,R,R,R,P,P,P,P,N,N,N,N
MB0320,R,R,R,R,T,T,T,T,A,A,A,A
MB0321,R,R,R,R,2,2,P,P,N,N,N,N
MB0322,R,R,R,R,P,P,P,P,N,N,N,N
MB0323,R,R,R,R,P,P,P,P,N,N,N,N
MB0324,W,W,W,W,P,P,P,P,A,A,A,A
MB0325,R,R,R,R,P,P,P,P,N,N,N,N
MB0327,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0328,W,W,W,W,P,P,P,P,A,A,A,A
MB0329,R,R,R,R,P,P,P,P,A,A,A,A
MB0330,Y,Y,Y,Y,P,P,T,P,N,N,N,N
MB0331,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0333,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0334,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0335,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0336,NA,NA,NA,NA,T,T,T,P,A,A,A,A
MB0337,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0338,W,W,W,W,P,P,P,P,A,A,A,A
MB0339,Y,Y,Y,Y,2,2,P,P,A,A,A,A
MB0341,R,R,R,R,P,P,P,P,N,N,N,N
MB0342,R,R,R,R,2,P,P,P,N,N,N,N
MB0343,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0346,R,R,R,R,P,P,P,P,N,N,N,N
MB0347,R,R,R,R,P,P,P,P,N,N,N,N
MB0348,R,R,R,R,P,P,P,P,N,N,N,N
MB0349,R,R,NA,R,P,P,P,P,NA,NA,N,N
MB0350,R,R,R,R,P,P,P,P,N,N,NA,N
MB0351,R,R,R,R,P,P,P,P,NA,N,N,N
MB0352,Y,Y,Y,Y,2,2,T,P,N,N,N,N
MB0353,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0354,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0356,R,R,R,R,T,T,T,T,A,A,A,A
MB0358,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0359,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0360,W,W,W,W,T,T,T,T,N,N,N,N
MB0361,NA,NA,NA,NA,P,P,NA,P,A,A,A,A
MB0362,Y,Y,Y,Y,P,NA,P,P,A,NA,A,A
MB0363,R,R,R,R,P,P,P,P,A,A,A,A
MB0364,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0365,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0366,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0367,R,R,R,R,P,P,P,P,A,A,A,A
MB0368,R,R,R,R,T,T,T,T,A,A,A,A
MB0369,R,R,R,R,2,2,NA,P,A,A,A,A
MB0370,NA,NA,NA,NA,2,P,NA,P,A,A,A,A
MB0371,R,R,R,R,P,P,P,P,A,A,A,A
MB0372,Y,Y,Y,Y,T,P,NA,T,N,N,N,N
MB0374,R,R,R,R,T,T,T,T,N,N,N,N
MB0375,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0376,R,R,R,R,2,2,P,P,N,N,N,N
MB0377,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0378,R,R,R,R,T,T,T,T,N,N,N,N
MB0379,R,NA,R,NA,P,NA,P,NA,N,NA,N,NA
MB0380,R,R,R,R,P,P,P,P,N,N,N,N
MB0381,R,R,R,R,P,P,P,P,N,N,N,N
MB0382,R,R,R,R,P,P,P,P,N,N,N,N
MB0384,R,R,R,R,T,P,P,T,A,A,A,A
MB0385,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0386,R,R,R,R,P,P,P,P,NA,N,N,A
MB0389,R,R,R,R,P,P,P,P,A,A,A,A
MB0391,R,R,R,R,2,2,P,P,A,A,A,A
MB0392,R,R,R,R,P,P,P,P,N,N,N,N
MB0393,R,R,R,R,P,P,P,P,N,N,N,N
MB0394,W,W,W,W,P,P,P,P,N,N,N,N
MB0396,R,R,R,R,P,P,P,P,A,A,A,A
MB0399,R,R,R,R,P,P,P,P,A,A,A,A
MB0400,R,R,R,R,P,P,P,P,A,A,A,A
MB0401,Y,Y,Y,Y,P,P,P,P,N,NA,N,NA
MB0402,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0403,R,R,R,R,P,P,P,P,N,N,N,N
MB0404,R,R,R,R,P,P,P,P,N,N,N,N
MB0408,R,R,R,R,P,P,P,P,A,A,A,A
MB0409,R,R,R,R,P,P,P,P,N,N,N,N
MB0410,R,R,R,R,P,P,P,P,N,N,N,N
MB0414,R,R,R,NA,P,P,P,P,N,N,N,N
MB0415,R,R,R,R,P,P,P,P,N,N,N,N
MB0417,R,R,R,R,P,P,P,P,A,A,A,A
MB0418,R,R,NA,NA,P,P,P,P,N,N,N,N
MB0419,Y,Y,Y,Y,P,P,P,P,NA,NA,N,N
MB0420,R,R,R,R,P,P,P,P,N,N,NA,N
MB0421,NA,NA,R,NA,NA,NA,P,NA,NA,NA,N,NA
MB0422,R,R,R,R,P,P,P,P,N,N,N,N
MB0423,R,R,R,W,P,P,P,P,N,N,N,N
MB0426,R,R,R,R,P,P,P,P,A,A,A,A
MB0427,R,R,R,R,P,P,P,P,NA,A,NA,N
MB0428,R,R,R,R,P,P,P,P,N,N,N,N
MB0429,W,W,W,W,P,P,P,P,A,A,A,A
MB0432,R,R,R,R,P,P,P,P,A,A,A,A
MB0433,R,R,R,R,P,P,P,P,N,N,N,N
MB0435,Y,R,R,R,P,P,P,P,N,N,N,N
MB0437,R,R,R,R,P,P,P,P,N,N,N,N
MB0438,R,R,R,R,P,P,NA,P,A,A,A,A
MB0439,R,R,R,R,P,P,P,P,A,A,A,A
MB0443,R,R,R,R,P,P,P,P,N,NA,N,NA
MB0444,R,R,R,R,P,P,P,P,N,N,N,N
MB0446,R,R,R,R,P,P,P,P,A,A,A,A
MB0447,R,R,R,R,P,P,P,P,A,A,A,A
